none -- [2022-04-03 13:07:04,436] INFO Watching for file changes with StatReloader
127.0.0.1 -- [2022-04-03 13:10:37,467] INFO "POST /management/presUpload/entryAddress/ HTTP/1.1" 200 60
127.0.0.1 -- [2022-04-03 13:10:37,497] INFO "GET /management/tableData/address_table/?&custom_num=82713&page=1&limit=10 HTTP/1.1" 200 341
127.0.0.1 -- [2022-04-03 13:10:52,195] INFO "POST /management/presUpload/savePresAddress/ HTTP/1.1" 200 63
127.0.0.1 -- [2022-04-03 13:10:52,268] INFO "GET /management/tableData/pres_consignee/?&pres_num=ZY_2022040228854&page=1&limit=10 HTTP/1.1" 200 434
127.0.0.1 -- [2022-04-03 13:10:56,232] INFO "GET /management/presUpload/entryAddress/?flag=ZY&pres_num=ZY_2022040228854&custom_num=82713 HTTP/1.1" 200 16704
127.0.0.1 -- [2022-04-03 13:10:56,353] INFO "GET /management/tableData/address_table/?&custom_num=82713&page=1&limit=10 HTTP/1.1" 200 341
127.0.0.1 -- [2022-04-03 13:10:56,353] INFO "GET /management/tableData/pres_consignee/?&pres_num=ZY_2022040228854&page=1&limit=10 HTTP/1.1" 200 434
127.0.0.1 -- [2022-04-03 13:11:19,243] INFO "GET /management/presQuery/home/ HTTP/1.1" 200 7728
127.0.0.1 -- [2022-04-03 13:11:19,340] INFO "GET /management/tableData/midPrescriptionTable/?page=1&limit=10 HTTP/1.1" 200 46
127.0.0.1 -- [2022-04-03 13:11:24,138] INFO "GET /management/tableData/midPrescriptionTable/?page=1&limit=10&uploadStatus=0&startDate=&endDate=&userName=&doctorName=&orderId=&PresNum= HTTP/1.1" 200 1054
127.0.0.1 -- [2022-04-03 13:11:28,481] INFO "GET /management/tableData/midPrescriptionTable/?page=1&limit=10&uploadStatus=0&startDate=&endDate=&userName=&doctorName=&orderId=&PresNum= HTTP/1.1" 200 1054
127.0.0.1 -- [2022-04-03 13:11:33,345] INFO "GET /management/tableData/midPrescriptionTable/?page=1&limit=10&uploadStatus=-1&startDate=&endDate=&userName=&doctorName=&orderId=&PresNum= HTTP/1.1" 200 1128
127.0.0.1 -- [2022-04-03 13:11:39,901] INFO "GET /management/tableData/midPrescriptionTable/?page=1&limit=10&uploadStatus=&startDate=&endDate=&userName=&doctorName=&orderId=&PresNum= HTTP/1.1" 200 46
127.0.0.1 -- [2022-04-03 13:13:48,488] INFO "GET /management/tableData/midPrescriptionTable/?page=1&limit=10&uploadStatus=&startDate=2022-03-25+00%3A00%3A00&endDate=2022-04-03+13%3A13%3A47&userName=&doctorName=&orderId=&PresNum= HTTP/1.1" 200 2202
